1610833488.8044453,68.79,80.71
1610833520.564196,68.79,80.6
1610833552.3241754,68.79,80.38
1610833584.0841808,68.79,80.26
1610833615.8442154,68.79,80.04
1610833647.6041827,68.79,79.92
1610833679.3641608,68.79,79.81
1610833711.1239703,68.79,79.92
1610833742.8839722,68.9,79.92
1610833774.64413,68.79,80.04
1610833806.4041708,68.79,80.15
1610833838.1641562,68.79,80.38
1610833869.9241323,68.9,80.49
1610833901.6841657,68.9,80.71
1610833933.444169,68.9,80.94
1610833965.2041738,68.9,81.05
1610833996.9641953,68.9,81.16
1610834028.7239685,68.9,81.39
1610834060.4841769,68.9,81.5
1610834092.2439656,68.9,81.5
1610834124.0041497,68.9,81.39
1610834155.7641158,68.79,81.28
1610834187.524111,68.79,81.16
1610834219.2843413,68.79,81.05
1610834251.0441763,68.79,80.83
1610834282.804158,68.79,80.71
1610834314.5641222,68.79,80.49
1610834346.4041932,68.79,80.38
1610834378.1641314,68.79,80.15
1610834409.9241638,68.79,80.04
1610834441.683969,68.79,79.92
1610834473.4441566,68.79,79.92
1610834505.2041159,68.79,79.92
1610834536.9641373,68.79,80.04
1610834568.7241836,68.67,80.15
1610834600.4841578,68.67,80.26
1610834632.2440782,68.79,80.38
1610834664.004122,68.67,80.6
1610834695.7641404,68.79,80.83
1610834727.5241358,68.67,80.94
1610834759.284171,68.67,81.16
1610834791.0441654,68.67,81.28
1610834822.8041177,68.67,81.39
1610834854.5639656,68.67,81.5
1610834886.3241615,68.79,81.5
1610834918.0841496,68.9,81.39
1610834949.8439918,68.9,81.28
1610834981.6041577,68.9,81.05
1610835013.3641682,68.79,80.94
1610835045.1241775,68.79,80.83
1610835076.8841739,68.79,80.6
1610835108.6438599,68.79,80.38
1610835140.4039862,68.67,80.26
1610835172.1642041,68.79,80.04
1610835203.9239652,68.67,79.92
1610835235.6841576,68.67,79.92
1610835267.4439702,68.67,79.92
1610835299.2041764,68.56,80.04
1610835330.964152,68.67,80.15
1610835362.724163,68.56,80.26
1610835394.4841611,68.56,80.38
1610835426.2441673,68.56,80.49
1610835458.0041828,68.56,80.71
1610835489.7641523,68.56,80.83
1610835521.5242429,68.56,81.05
1610835553.2841654,68.56,81.16
1610835585.0443316,68.56,81.28
1610835616.8039699,68.45,81.28
1610835648.5641506,68.45,81.28
1610835680.3241608,68.45,81.16
1610835712.0841856,68.45,80.94
1610835743.8441596,68.45,80.83
1610835775.604155,68.56,80.71
1610835807.3641734,68.56,80.49
1610835839.1241357,68.45,80.26
1610835870.8841074,68.45,80.15
1610835902.6439753,68.45,80.04
1610835934.4041483,68.56,79.81
1610835966.1639638,68.45,79.7
1610835997.9241593,68.45,79.7
1610836029.6839635,68.45,79.7
1610836061.444159,68.45,79.81
1610836093.2039666,68.45,79.92
1610836124.9641454,68.45,80.04
1610836156.7241793,68.45,80.26
1610836188.4841824,68.45,80.38
1610836220.324163,68.45,80.6
1610836252.0841196,68.45,80.71
1610836283.8441527,68.45,80.94
1610836315.6039624,68.45,81.05
1610836347.3641691,68.34,81.16
1610836379.123969,68.34,81.16
1610836410.884113,68.34,81.16
1610836442.6441774,68.34,81.05
1610836474.4041326,68.34,80.94
1610836506.1640937,68.34,80.83
1610836537.924151,68.34,80.6
